5035,5,1
5304,4,0
2147,3,2
1512,3,0
3681,0.6,2
5911,10,0
4967,8,1
6230,5,1
465,9,1
4208,4,1
4646,0.5,1
4355,11,1
3138,3,0
5667,1,0
5988,0.333333,1
3917,0.416667,0
4260,1,0
2436,5,0
4440,4,1
4023,0.916667,1
3542,3,0
2253,4,0
2265,0.45,0
1997,4,0
6456,1,1
2500,7,1
266,4,0
5157,0.55,0
5008,0.65,0
2703,8,2
3128,2,1
3357,0.816667,0
571,9,0
2534,6,0
1785,0.633333,0
2306,8,0
6988,2,0
2774,0.883333,0
4147,5,0
6558,10,0
3816,6,0
2189,3,0
2379,4,1
2034,0.816667,1
6362,5,1
1913,8,2
2486,0.933333,2
54,5,0
4310,0.383333,0
4415,0.416667,0
2654,8,0
3178,9,0
1349,8,1
679,9,1
3474,5,1
4213,5,2
2484,6,1
5750,1,3
6191,7,0
3275,7,0
2339,2,0
855,11,0
4786,0.983333,0
6292,0.5,0
771,8,1
8,1,2
2915,5,1
3665,3,1
4377,3,0
498,0.6,1
4322,8,1
5907,0.25,0
2355,8,1
859,0.7,0
6154,3,0
4210,2,0
566,0.55,1
3982,8,0
2386,4,0
5389,1,0
3961,2,0
2065,1,1
928,0.883333,1
3437,0.75,1
6813,7,1
820,5,1
812,0.283333,1
637,5,1
5276,0.45,0
3785,0.716667,0
5904,11,0
6534,3,1
366,0.45,0
6159,6,1
3748,4,0
3095,0.266667,0
810,4,1
525,0.8,0
4709,1,0
6661,4,1
4486,4,0
6108,0.633333,1
6802,9,0
4051,11,1
2230,0.9,1
5228,11,1
1665,11,1
3896,9,1
6248,10,1
4304,10,0
412,9,0
2308,8,1
2073,1,0
1012,0.633333,0
3349,8,1
456,1,1
6809,2,1
4477,0.65,0
1014,4,1
819,11,0
313,5,0
4902,7,0
5447,8,1
6709,0.7,0
4098,2,2
5111,8,1
6041,9,1
4931,3,1
170,3,0
579,9,1
6358,6,1
6374,2,1
4480,0.416667,0
3146,1,1
4224,0.25,0
5115,6,1
4319,1,0
2121,3,1
6392,7,0
4148,6,0
4502,8,1
1667,8,1
5271,9,0
2267,3,1
4534,0.5,1
1868,8,0
3519,5,0
5400,0.266667,2
4062,1,1
2282,10,1
