3317,1.2,3
1326,315,0
5123,324,0
4095,319,0
1887,62,0
3033,63,0
4540,0.75,2
5773,1.16667,1
2808,61,0
1420,0.983333,0
1504,347,0
2026,342,0
955,62,1
2070,60,1
6663,61,2
1515,0.866667,1
6975,63,2
6190,317,0
1750,322,0
52,63,0
5326,343,0
6481,338,0
151,62,0
5351,319,0
1274,62,0
4086,345,0
3434,60,0
4755,0.333333,2
81,62,1
2008,334,1
5912,325,1
3976,349,1
6506,337,0
4367,63,0
3014,61,0
3155,300,1
3825,343,0
6230,330,0
1338,62,0
1352,316,0
205,302,1
4665,317,1
3492,60,1
6020,0.25,2
2765,61,1
4274,305,0
90,314,0
2502,338,0
6690,60,0
1774,0.616667,1
5462,63,0
526,60,0
1894,307,0
2231,62,0
5176,313,0
3333,63,0
2548,62,0
6685,1,1
2885,328,1
1816,0.8,1
2028,317,1
1424,63,1
4934,62,1
1059,63,1
37,63,0
6773,303,0
4541,327,0
5100,60,0
2500,0.816667,0
4449,323,1
2566,0.533333,1
3359,1.18333,1
337,61,0
5371,321,0
2173,62,0
590,0.35,1
1361,349,0
5999,326,0
1149,301,0
2953,0.25,0
4782,61,0
5472,0.266667,1
3720,1.18333,0
5954,61,0
4251,339,1
2297,1.06667,1
5407,324,0
5608,331,0
4727,308,1
4186,304,0
3274,63,1
6163,62,1
3088,0.35,0
3969,61,0
3131,60,0
3578,62,0
1644,0.55,0
906,0.4,0
1883,310,0
528,313,0
1563,63,0
4320,328,0
3443,61,0
6598,317,0
4995,62,1
75,349,1
2976,326,1
1492,342,1
988,61,0
4722,345,0
3755,0.283333,1
6981,303,0
17,326,0
1988,334,0
4012,345,0
2722,324,0
1889,63,0
2245,0.583333,1
1202,62,0
1943,60,1
6112,333,0
6499,1.03333,1
3262,0.4,0
1670,348,1
2342,315,1
1174,60,0
5503,338,1
104,60,1
901,62,0
2690,342,0
6347,347,0
4708,0.583333,0
5061,330,0
